ano,name_model,Erro_days,R2,MAE,RMSE,TP,FP,FN,TN,Recall,Precision,F1,MedAE
2015,XGB_regressor_safra_temp,13.076950252100836,-0.9918843507766724,13.076950252100836,17.261810872933314,539,611,1516,0,0.262287104622871,0.46869565217391307,0.3363494539781591,10.4993896484375
2016,XGB_regressor_safra_temp,9.47452584067799,0.49335378408432007,9.47452584067799,12.597954955235295,638,1070,920,0,0.40949935815147626,0.373536299765808,0.3906919779546847,6.9450531005859375
2017,XGB_regressor_safra_temp,6.929869022184206,0.6715627908706665,6.929869022184206,9.983652297032428,1071,1162,1063,0,0.5018744142455482,0.47962382445141066,0.4904969086329288,4.5728607177734375
2018,XGB_regressor_safra_temp,15.947017470759526,0.39396047592163086,15.947017470759526,19.567476327465428,147,281,1087,0,0.11912479740680713,0.34345794392523366,0.1768953068592058,13.524200439453125
2019,XGB_regressor_safra_temp,13.137344997185322,0.556796133518219,13.137344997185322,16.90128961394649,442,1377,601,0,0.42377756471716205,0.24299065420560748,0.3088749126484976,9.927398681640625
2020,XGB_regressor_safra_temp,10.455980002188626,0.19140714406967163,10.455980002188626,13.39459635641169,691,1903,854,0,0.44724919093851134,0.2663839629915189,0.33389707658854795,7.774055480957031
2021,XGB_regressor_safra_temp,16.140884432778762,0.6413047313690186,16.140884432778762,18.969808164511615,63,420,203,0,0.23684210526315788,0.13043478260869565,0.16822429906542055,14.885055541992188
2022,XGB_regressor_safra_temp,5.294545440673828,0.0,5.294545440673828,6.607066313851828,16,7,27,0,0.37209302325581395,0.6956521739130435,0.48484848484848486,4.001293182373047
2004,XGB_classificador,5.7272727272727275,0.7247961521148681,0.17525636376099574,0.2622889554636921,227,111,281,2426,0.4468503937007874,0.6715976331360947,0.5366430260047281,0.17525636376099574
2005,XGB_classificador,7.809523809523809,0.7315859436988831,0.17269785135342203,0.259033481968191,438,334,536,4855,0.44969199178644764,0.5673575129533679,0.5017182130584192,0.17269785135342203
2006,XGB_classificador,6.333333333333333,0.7290416836738587,0.17348110242149312,0.26025958644294644,1515,1162,1138,13629,0.5710516396532228,0.5659320134478895,0.5684803001876173,0.17348110242149312
2007,XGB_classificador,9.514898688915375,0.7289934515953064,0.1732971497194519,0.26028543612968996,3159,3302,980,24519,0.7632278328098574,0.48893360160965793,0.5960377358490566,0.1732971497194519
2008,XGB_classificador,7.238910505836576,0.7185860276222229,0.18048109184650082,0.2652284164637453,4741,4135,1559,39352,0.7525396825396825,0.5341369986480397,0.6248023194517659,0.18048109184650082
2009,XGB_classificador,7.662983425414365,0.7278055787086487,0.17376522343135645,0.2608524903804586,648,640,412,5304,0.6113207547169811,0.5031055900621118,0.5519591141396933,0.17376522343135645
2010,XGB_classificador,13.365079365079366,0.7313048243522644,0.17308158757241335,0.2591760570263674,954,1999,206,5839,0.8224137931034483,0.32306129359972907,0.46389496717724293,0.17308158757241335
2011,XGB_classificador,4.583333333333333,0.7226814866065979,0.17752658989741038,0.2632922043917512,38,19,42,441,0.475,0.6666666666666666,0.5547445255474452,0.17752658989741038
2012,XGB_classificador,12.285714285714286,0.7265071511268616,0.1753049850532685,0.26147401872580894,397,708,51,2272,0.8861607142857143,0.3592760180995475,0.5112685125563425,0.1753049850532685
2013,XGB_classificador,7.208955223880597,0.7256366968154907,0.1758398551829629,0.26187346178536614,252,172,48,1853,0.84,0.5943396226415094,0.6961325966850828,0.1758398551829629
2014,XGB_classificador,6.885245901639344,0.7258317708969116,0.17593225151249484,0.2617894028899306,216,151,140,1915,0.6067415730337079,0.5885558583106267,0.5975103734439835,0.17593225151249484
2015,XGB_classificador,8.6375,0.7240703344345093,0.17609025673525824,0.2626325234523795,283,367,141,1875,0.6674528301886793,0.43538461538461537,0.5270018621973929,0.17609025673525824
2016,XGB_classificador,7.779411764705882,0.7253365039825439,0.17668463465899487,0.2620316640228312,252,238,120,2018,0.6774193548387096,0.5142857142857142,0.5846867749419954,0.17668463465899487
2017,XGB_classificador,7.03125,0.7270512580871582,0.17534494906547385,0.2612170758452465,354,343,98,2501,0.7831858407079646,0.5078909612625538,0.6161879895561359,0.17534494906547385
2018,XGB_classificador,9.6,0.7260912179946899,0.17523004240157233,0.2616396891916706,140,177,92,1106,0.603448275862069,0.4416403785488959,0.5100182149362477,0.17523004240157233
2019,XGB_classificador,11.015625,0.7244474053382873,0.1763817640398781,0.2624429508897869,242,428,42,1708,0.852112676056338,0.3611940298507463,0.5073375262054507,0.1763817640398781
2020,XGB_classificador,11.452631578947368,0.7232734680175781,0.17695348457094073,0.2630186330011136,372,547,28,2501,0.93,0.4047878128400435,0.5640636846095527,0.17695348457094073
2021,XGB_classificador,12.666666666666666,0.7270147800445557,0.1757032409661959,0.2612221542074224,48,104,24,510,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.1757032409661959
2022,XGB_classificador,,0.7231070399284363,0.17764286931411308,0.26308554973921866,0,0,8,42,0.0,0.0,0.0,0.17764286931411308
2004,XGB_classificador_temp,5.971830985915493,0.7999578356742859,0.13153000988073088,0.22362658129103977,247,90,261,2447,0.4862204724409449,0.7329376854599406,0.5846153846153846,0.13153000988073088
2005,XGB_classificador_temp,7.796875,0.8056864619255066,0.12927338841224037,0.2203983972560944,473,217,501,4972,0.4856262833675565,0.6855072463768116,0.5685096153846154,0.12927338841224037
2006,XGB_classificador_temp,6.530172413793103,0.8089793801307679,0.12817028390171833,0.21850783219969677,1632,621,1021,14170,0.6151526573690163,0.7243675099866844,0.6653077863840196,0.12817028390171833
2007,XGB_classificador_temp,11.352064220183486,0.8038020372390747,0.13154888983637408,0.22146385604197869,3305,2304,834,25517,0.798502053636144,0.5892315920841504,0.6780878128846942,0.13154888983637408
2008,XGB_classificador_temp,7.685867895545315,0.7978850603103638,0.13667124895454985,0.22476966946074506,5042,1995,1258,41492,0.8003174603174603,0.7164985078868836,0.7560920746794632,0.13667124895454985
2009,XGB_classificador_temp,7.699481865284974,0.8026826858520508,0.13078221155758935,0.22208278006598423,678,370,382,5574,0.6396226415094339,0.6469465648854962,0.6432637571157495,0.13078221155758935
2010,XGB_classificador_temp,14.217898832684824,0.8050884485244751,0.1302634809980977,0.22073837826403642,933,1310,227,6528,0.8043103448275862,0.4159607668301382,0.5483397002644725,0.1302634809980977
2011,XGB_classificador_temp,7.0,0.8003773331642151,0.13255897417281123,0.2233707877162098,40,12,40,448,0.5,0.7692307692307693,0.6060606060606061,0.13255897417281123
2012,XGB_classificador_temp,13.027027027027026,0.8011804461479187,0.13193592144409777,0.2229362062319989,410,530,38,2450,0.9151785714285714,0.43617021276595747,0.590778097982709,0.13193592144409777
2013,XGB_classificador_temp,9.075757575757576,0.7982595205307007,0.1328652764435336,0.22455404088982056,253,143,47,1882,0.8433333333333334,0.6388888888888888,0.7270114942528737,0.1328652764435336
